name,location,price,capacity,rating,reviews,description
Factory Atlanta,"Atlanta, GA",$$$,300+ Guests,5,6,A versatile industrial-meets-chic wedding venue perfect for creative couples.
Ecco Buckhead,"Atlanta, GA",$$$,300+ Guests,,,An enchanting and elegant restaurant wedding venue in Atlanta's Buckhead neighborhood.
Monday Night Brewing: The Garage,"Atlanta, GA",$$$,300+ Guests,4.9,14,A charming and inviting private event space with historic charm and natural light.
The White Bull,"Decatur, GA",$$$,51-100 Guests,0,0,A restaurant specializing in Italian farm-to-table cuisine with event space.
FORTH Hotel Atlanta,"Atlanta, GA",$$$$,201-250 Guests,0,0,A luxury venue in Old Fourth Ward with an elegant ballroom and rooftop space.
Journeyman's Hall,"Atlanta, GA",$$$,151-200 Guests,5,3,A wedding venue led by Chef Vincent Marra offering custom wedding experiences.
Atlanta Botanical Garden,"Atlanta, GA",$$$,151-200 Guests,4.7,21,An urban oasis with lush lawns and tropical foliage for indoor/outdoor events.
Emory Conference Center Hotel,"Atlanta, GA",$$$,300+ Guests,4.8,41,An elegant venue with versatile surroundings near Hartsfield Airport.
Ambient + Studio,"Atlanta, GA",$$$,251-300 Guests,4.4,9,A unique wedding venue built in 1910 with historic charm.
The Kimpton Shane,"Atlanta, GA",$$$,51-100 Guests,0,0,A boutique hotel with stunning architecture and stylish furnishings.
Park Tavern: The Piedmont Room & Piedmont Garden Tent,"Atlanta, GA",$$$,251-300 Guests,4.7,132,A venue overlooking Piedmont Park with indoor and outdoor spaces.
Grana,"Atlanta, GA",$$$,151-200 Guests,5,1,A venue offering authentic Southern Italian cuisine with three event levels.
Hyatt Regency Atlanta Perimeter at Villa Christina,"Atlanta, GA",$$$,300+ Guests,4.6,63,A hotel surrounded by landscaped gardens with captivating views.
Wahoo! Grill,"Decatur, GA",$$$,201-250 Guests,5,100,"A full-service venue for weddings, receptions, and rehearsal dinners."
Waldorf Astoria Atlanta Buckhead,"Atlanta, GA",$$$$,51-100 Guests,4.9,7,A luxury venue combining charm and sophistication in Buckhead.
Omni Atlanta Hotel at Centennial Park,"Atlanta, GA",$$$$,300+ Guests,5,2,A hotel in downtown Atlanta offering banquet and catering services.
Grand Hyatt Atlanta in Buckhead,"Atlanta, GA",$$$,300+ Guests,5,4,A hotel offering elegant event spaces in the heart of Buckhead.
The Wrecking Bar Brewpub,"Atlanta, GA",$$$,201-250 Guests,5,9,A historic mansion with Victorian-era architecture for weddings.
Swan Coach House,"Atlanta, GA",$$$,101-150 Guests,4.6,63,An elegant historic venue in the residential heart of Buckhead.
Historic DeKalb Courthouse,"Decatur, GA",$$$,101-150 Guests,4.9,92,An elegant courthouse with marble interiors and high ceilings.
The Westside Warehouse,"Atlanta, GA",$$$,201-250 Guests,5,37,A converted warehouse with cathedral ceilings in west-midtown.
Epicurean Hotel Atlanta,"Atlanta, GA",$$$,101-150 Guests,4.9,7,A luxe hotel with modern architecture for wedding events.
The Wimbish House,"Atlanta, GA",$$$,201-250 Guests,4.9,85,A Victorian-era home in Midtown for weddings and events.
42West Entertainment Group,"Atlanta, GA",$$$,251-300 Guests,5,6,A modern industrial venue with refined elegance in West Atlanta.
The Trolley Barn,"Atlanta, GA",$$$,201-250 Guests,4.2,41,A historic structure with hardwood floors and garden areas.
Intercontinental Buckhead Atlanta,"Atlanta, GA",$$$,300+ Guests,4.9,7,A luxury hotel combining classic charm with modern amenities.
Callanwolde Fine Arts Center,"Atlanta, GA",$$$,151-200 Guests,4.6,38,A historic arts center with sprawling grounds in Druid Hills.
SCAD Ivy Hall,"Atlanta, GA",$$$,101-150 Guests,4.5,4,A historic wedding venue with Victorian architecture.
Hotel Colee,"Atlanta, GA",$$$,251-300 Guests,0,0,An award-winning hotel for celebrations in Atlanta.
Renaissance Atlanta Midtown Hotel,"Midtown Atlanta, GA",$$$,300+ Guests,5,2,A hotel in the arts district with prime location for events.
Enon Ranch,"Atlanta, GA",$$,251-300 Guests,5,2,"Enon Ranch is a beautiful wedding venue located in Atlanta, GA, offering a rustic event space with countryside views."
Pristine Chapel Lakeside,"Jonesboro, GA",$$,251-300 Guests,4.8,103,"Pristine Chapel Lakeside is a luxe ceremony and reception venue in Jonesboro, GA, offering sweeping views and virtual tours."
